readers,writers,lockType,reads,writes
1,1,LockFreeSpaceship,38964064,83501208
1,1,LockFreeSpaceship,48731646,103074287
1,1,LockFreeSpaceship,50501694,103018178
1,1,LockFreeSpaceship,56268096,109090094
1,1,LockFreeSpaceship,65182403,108221489
1,1,ReadWriteLockSpaceShip,12532941,13912945
1,1,ReadWriteLockSpaceShip,12837528,22641590
1,1,ReadWriteLockSpaceShip,13238864,21057448
1,1,ReadWriteLockSpaceShip,13676658,21039017
1,1,ReadWriteLockSpaceShip,7586193,21051985
1,1,ReentrantLockSpaceship,13502831,14114796
1,1,ReentrantLockSpaceship,15354997,20064774
1,1,ReentrantLockSpaceship,15901558,19631501
1,1,ReentrantLockSpaceship,16021918,19321591
1,1,ReentrantLockSpaceship,20247411,27755961
1,1,StampedLockSpaceship,17194522,32335148
1,1,StampedLockSpaceship,24819238,37550643
1,1,StampedLockSpaceship,25466829,38414127
1,1,StampedLockSpaceship,27740622,37803235
1,1,StampedLockSpaceship,27746988,37993464
1,1,StampedLockWithRetriesSpaceship,16891416,42169626
1,1,StampedLockWithRetriesSpaceship,20820799,52826498
1,1,StampedLockWithRetriesSpaceship,23679438,70903496
1,1,StampedLockWithRetriesSpaceship,24530167,56441221
1,1,StampedLockWithRetriesSpaceship,30652365,43009957
1,1,SynchronizedSpaceship,23400924,28391569
1,1,SynchronizedSpaceship,29788883,35270646
1,1,SynchronizedSpaceship,32944128,33164313
1,1,SynchronizedSpaceship,40426216,29384733
1,1,SynchronizedSpaceship,51652727,22694048
2,1,LockFreeSpaceship,168029370,54892033
2,1,LockFreeSpaceship,219195828,56065677
2,1,LockFreeSpaceship,73219102,74629194
2,1,LockFreeSpaceship,81329790,80383107
2,1,LockFreeSpaceship,88141574,75265101
2,1,ReadWriteLockSpaceShip,30451546,37935588
2,1,ReadWriteLockSpaceShip,30477658,35374006
2,1,ReadWriteLockSpaceShip,30741566,43680444
2,1,ReadWriteLockSpaceShip,31109767,38805513
2,1,ReadWriteLockSpaceShip,31191065,36669064
2,1,ReentrantLockSpaceship,71329060,68814277
2,1,ReentrantLockSpaceship,80120348,66399297
2,1,ReentrantLockSpaceship,85762489,47662982
2,1,ReentrantLockSpaceship,88580431,59652881
2,1,ReentrantLockSpaceship,91785690,39822561
2,1,StampedLockSpaceship,36833823,16954875
2,1,StampedLockSpaceship,37060527,18271001
2,1,StampedLockSpaceship,37662399,21916680
